id,web_name,full_name,team_name,position,status,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,yellow_cards,red_cards,penalties_missed,penalties_saved,own_goals,bps,influence,creativity,threat,ict_index,form,points_per_game,ep_this,ep_next,selected_pct,in_dreamteam,tackles,recoveries,clearances_blocks_interceptions
430,Haaland,Erling Haaland,Man City,FWD,a,14.8,102,944,14,1,6,7,0,23,0,0,1,0,0,444,526.0,65.0,649.0,124.1,8.0,9.3,8.0,8.5,70.6,True,2,14,20
5,Gabriel,Gabriel dos Santos Magalhães,Arsenal,DEF,a,6.6,81,990,1,2,7,5,0,13,1,0,0,0,0,279,318.6,62.6,88.0,46.9,8.5,7.4,9.5,9.5,43.6,True,12,15,88
82,Semenyo,Antoine Semenyo,Bournemouth,MID,a,8.1,75,990,6,4,4,18,0,9,2,0,1,0,0,214,336.6,162.2,297.0,79.7,2.2,6.8,2.2,2.2,64.3,True,18,58,9
8,J.Timber,Jurriën Timber,Arsenal,DEF,a,6.1,67,881,2,2,6,5,0,7,2,0,0,0,0,257,238.0,179.1,216.0,63.5,4.8,6.1,5.8,5.8,25.6,True,34,33,27
21,Rice,Declan Rice,Arsenal,MID,a,6.9,65,893,2,4,6,5,0,10,0,0,0,0,0,254,273.4,318.0,99.0,69.1,6.2,5.9,7.2,7.2,20.3,True,17,46,32
260,Guéhi,Marc Guéhi,Crystal Palace,DEF,d,5.1,64,900,1,3,4,9,0,5,0,0,0,0,0,214,244.0,88.1,103.0,43.5,4.5,6.4,4.5,3.4,35.2,True,22,35,63
7,Calafiori,Riccardo Calafiori,Arsenal,DEF,a,5.8,61,856,1,2,7,5,0,3,3,0,0,0,0,213,150.0,89.3,181.0,41.9,4.8,5.5,5.8,5.8,16.1,True,13,42,34
136,Thiago,Igor Thiago Nascimento Rodrigues,Brentford,FWD,a,6.3,60,921,8,0,2,16,0,9,3,0,0,0,0,241,343.4,93.5,363.0,80.0,7.0,5.5,7.0,7.0,9.8,True,14,18,23
119,Mbeumo,Bryan Mbeumo,Man Utd,MID,a,8.5,60,955,5,1,2,17,0,8,0,0,0,0,0,225,271.4,350.9,333.0,95.5,8.2,5.5,8.2,8.2,31.7,True,3,34,5
256,Muñoz,Daniel Muñoz Mejía,Crystal Palace,DEF,a,5.7,60,990,1,3,5,9,0,2,3,0,0,0,0,205,229.8,111.1,173.0,51.2,6.0,5.5,6.0,6.0,15.8,False,27,41,51
241,Caicedo,Moisés Caicedo Corozo,Chelsea,MID,a,6.0,60,945,3,1,4,11,0,9,2,0,0,0,0,253,306.2,132.8,59.0,49.7,3.8,5.5,3.8,3.8,23.1,True,34,57,44
249,João Pedro,João Pedro Junqueira de Jesus,Chelsea,FWD,a,7.5,59,929,4,3,5,9,0,12,0,0,0,0,0,248,275.4,211.2,282.0,76.4,5.0,5.4,5.0,5.0,48.3,False,9,27,15
575,Van de Ven,Micky van de Ven,Spurs,DEF,a,4.8,58,979,3,0,4,10,0,5,2,0,0,0,0,210,253.4,33.9,120.0,40.8,6.5,5.3,6.5,5.5,33.3,False,12,41,52
72,Senesi,Marcos Senesi Barón,Bournemouth,DEF,a,5.0,58,977,0,2,4,18,0,6,3,0,0,0,0,179,350.0,91.3,31.0,47.3,3.0,5.3,3.0,3.0,25.9,False,17,46,124
670,Roefs,Robin Roefs,Sunderland,GKP,a,4.7,56,990,0,0,4,10,39,6,1,0,0,1,0,222,323.8,20.0,0.0,34.3,3.8,5.1,2.8,3.8,7.3,True,0,112,10
257,Lacroix,Maxence Lacroix,Crystal Palace,DEF,a,5.0,56,990,0,1,5,9,0,2,1,0,0,0,0,202,234.8,31.7,58.0,32.3,4.8,5.1,4.8,4.8,3.8,False,20,28,95
295,Keane,Michael Keane,Everton,DEF,a,4.5,56,964,2,0,3,13,0,4,0,0,0,0,0,155,293.4,20.2,105.0,41.8,5.2,5.1,5.2,5.2,1.2,False,9,31,95
226,Chalobah,Trevoh Chalobah,Chelsea,DEF,a,5.1,55,840,2,1,5,10,0,2,2,1,0,0,0,207,254.8,52.0,85.0,39.1,5.0,5.5,5.0,5.0,8.0,False,12,36,70
299,Ndiaye,Iliman Ndiaye,Everton,MID,a,6.6,55,914,4,1,3,13,0,3,2,0,0,0,0,223,278.8,193.3,202.0,67.5,4.5,5.0,4.5,4.5,11.9,False,27,65,10
258,Mitchell,Tyrick Mitchell,Crystal Palace,DEF,a,5.0,55,990,1,0,5,9,0,5,2,0,0,0,0,212,238.0,160.7,81.0,48.0,5.0,5.0,5.0,5.0,2.2,False,39,61,49
381,M.Salah,Mohamed Salah,Liverpool,MID,a,14.2,54,984,4,2,3,17,0,4,1,0,0,0,0,167,229.8,300.3,308.0,83.8,5.0,4.9,5.0,5.5,24.1,False,2,31,5
205,Cullen,Josh Cullen,Burnley,MID,a,5.0,53,941,2,1,3,19,0,8,1,0,0,0,1,222,273.6,150.3,77.0,50.3,4.0,4.8,4.0,4.0,2.3,False,20,43,52
1,Raya,David Raya Martín,Arsenal,GKP,a,5.9,53,990,0,0,7,5,16,3,1,0,0,0,0,210,159.8,10.2,0.0,17.0,4.8,4.8,5.8,5.8,32.3,False,0,87,9
